No_Fault,Fault_4,Fault_11
0.6201106443726209,0.6762111249346126,0.7033705745180295
0.6319713277917544,0.6796326272014651,0.7371100727730041
0.6184186566487887,0.6787340326227411,0.7544822303785896
0.6511128413120543,0.6822268881991574,0.7408861308976189
0.6406329250872114,0.6722116919560724,0.7328078886893008
0.6406329250872114,0.6853540583854106,0.7349628755723879
0.6056546271555494,0.6957638540144591,0.6928334263134964
0.6120393867167893,0.7700562791589087,0.6756489205397423
0.6237232643660032,0.7610999520902075,0.6662758472061606
0.63660468084215,0.7732965604554415,0.6707552467337884
0.6949657887141873,0.7911738180789355,0.6446148316292915
0.7353536044209719,0.7574515287625113,0.6298330751204927
0.7896836259710236,0.7501628908576111,0.6082220790455004
0.7447793779636205,0.7456584072846807,0.6698819752403152
0.7487642279243933,0.7147453716052823,0.7297806376528023
0.7448837099828378,0.7015163611521407,0.7202181224653982
0.7666391559322143,0.7364135953024258,0.7562239777979118
0.8018041301451291,0.7469326582271244,0.7164492167786917
0.8290288708031046,0.7734376192786969,0.667293871041221
0.796894061986143,0.73430816245325,0.6281887406266823
0.796894061986143,0.7288734164245534,0.6173920680925207
0.8219085986034297,0.7150628722274409,0.6465333211505544
0.8071013797623987,0.636596911130202,0.653808140873297
0.8031268315447124,0.6313951345986833,0.6229561684719298
0.7516844336206132,0.6430057853962251,0.621680870231514
0.7522968498196314,0.6283638785738347,0.621680870231514
0.7495893381831495,0.6862895357362101,0.6547072388083064
0.78528472959112,0.6972602460438003,0.6607136921103921
0.7718204807846566,0.6715089114957437,0.6755997827605911
0.7244822151128251,0.6485032988844174,0.7234427412237707
0.7785216706027048,0.6579251319267715,0.7162267725046236
0.782444681880562,0.7145765072696671,0.7476673536613496
0.801873829490241,0.6977531147866378,0.7284826569035816
0.8277275123826242,0.6697223699431695,0.7958950281249284
0.8008135038378242,0.693830202399759,0.8374925644188139
0.7966513888033449,0.6836274845212874,0.8380448035305353
0.7957972055164501,0.6937235735534676,0.8433888923489111
0.7957240949865954,0.667109451118463,0.842316035585927
0.795433283266891,0.6842043383017621,0.8271382710920981
0.7945678212250401,0.6704201694675688,0.7888408756334215
0.7805750989810321,0.666921318459806,0.7810708814892016
0.8022151284445692,0.6715721685749603,0.7626632571186989
0.778768160408491,0.6350902990030877,0.7897762296943374
0.7867755454341213,0.6541033526966248,0.7994438360990763
0.8319794391501696,0.6897612327899336,0.8170562366563422
0.8191881996430225,0.7023961515537259,0.8089229067872568
0.8308239824889684,0.693344979866824,0.8073548675350133
0.8163571973336003,0.7178388607990293,0.8051240125833387
0.8556092660254951,0.7074616970040966,0.7995506463333542
0.8229578741925644,0.7074616970040966,0.7521445397146268
0.761554957218538,0.6899432812427162,0.7505765004623792
0.7942064036823844,0.674352017795653,0.7859515026828828
0.7560423047018409,0.6869050467088111,0.8242192013017697
0.7610402925195363,0.6918051822343381,0.8375562081542924
0.7598966610381547,0.6800792451529439,0.7954903184118961
